"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"	"region"
"SETD52"	0.00335325221695065	0.102060566561902	0.299	0.154	1	"Neur"	"SETD5"	"AD"	"Entorhinal Cortex"
"SNX292"	0.00337132162070431	0.209211264328155	0.103	0.034	1	"Neur"	"SNX29"	"AD"	"Entorhinal Cortex"
"PARD31"	0.00338240276304732	0.276926917392497	0.179	0.08	1	"Neur"	"PARD3"	"AD"	"Entorhinal Cortex"
"ZMYM22"	0.0033964036733031	0.0477695753814069	0.265	0.133	1	"Neur"	"ZMYM2"	"AD"	"Entorhinal Cortex"
"MAPK9"	0.00340939948677052	0.193038017672383	0.103	0.034	1	"Neur"	"MAPK9"	"AD"	"Entorhinal Cortex"
"SCYL21"	0.00340939948677052	0.0835762167164681	0.103	0.034	1	"Neur"	"SCYL2"	"AD"	"Entorhinal Cortex"
"GTDC12"	0.00342639829927831	-0.0616350608039791	0.222	0.103	1	"Neur"	"GTDC1"	"AD"	"Entorhinal Cortex"
"PCBP21"	0.00347756954601165	0.0365351290051991	0.12	0.044	1	"Neur"	"PCBP2"	"AD"	"Entorhinal Cortex"
"UGT8"	0.00347948490447949	-1.14070676171485	0.026	0.112	1	"Neur"	"UGT8"	"AD"	"Entorhinal Cortex"
"FOS2"	0.00347948716277201	-1.08406611392543	0.026	0.112	1	"Neur"	"FOS"	"AD"	"Entorhinal Cortex"
"HECW1"	0.00349601484267177	0.120815818121567	0.214	0.099	1	"Neur"	"HECW1"	"AD"	"Entorhinal Cortex"
"IMMP2L2"	0.00350165963547037	0.16668604603118	0.256	0.128	1	"Neur"	"IMMP2L"	"AD"	"Entorhinal Cortex"
"KIT"	0.00350631314220082	0.224461806293635	0.103	0.034	1	"Neur"	"KIT"	"AD"	"Entorhinal Cortex"
"PARM1"	0.00350631314220082	-0.0856462016027224	0.103	0.034	1	"Neur"	"PARM1"	"AD"	"Entorhinal Cortex"
"NAE1"	0.00352599411842865	0.0174265802602761	0.103	0.034	1	"Neur"	"NAE1"	"AD"	"Entorhinal Cortex"
"CCDC3"	0.00352743743453424	0.29577884687485	0.145	0.06	1	"Neur"	"CCDC3"	"AD"	"Entorhinal Cortex"
"ZFP64"	0.00352761632196815	0.240483894416373	0.111	0.039	1	"Neur"	"ZFP64"	"AD"	"Entorhinal Cortex"
"CARS2"	0.00357108716467464	0.17114785946209	0.154	0.064	1	"Neur"	"CARS2"	"AD"	"Entorhinal Cortex"
"ST6GALNAC5"	0.00359334392654696	0.544995637541174	0.171	0.078	1	"Neur"	"ST6GALNAC5"	"AD"	"Entorhinal Cortex"
"COMMD102"	0.00360233737182547	0.255469935517042	0.154	0.064	1	"Neur"	"COMMD10"	"AD"	"Entorhinal Cortex"
"RNF2202"	0.00363405281232415	-1.17015645400204	0.128	0.234	1	"Neur"	"RNF220"	"AD"	"Entorhinal Cortex"
"PPA22"	0.00364824202154764	0.425642764934755	0.137	0.055	1	"Neur"	"PPA2"	"AD"	"Entorhinal Cortex"
"REPS2"	0.00364824202154764	0.354489370818886	0.137	0.055	1	"Neur"	"REPS2"	"AD"	"Entorhinal Cortex"
"DAZAP12"	0.00365545424912978	-1.30962410554059	0.068	0.167	1	"Neur"	"DAZAP1"	"AD"	"Entorhinal Cortex"
"SMURF12"	0.00369933023705973	0.284548436341765	0.137	0.055	1	"Neur"	"SMURF1"	"AD"	"Entorhinal Cortex"
"RNF1111"	0.00371850893825113	0.110757840587657	0.162	0.069	1	"Neur"	"RNF111"	"AD"	"Entorhinal Cortex"
"MAGED1"	0.00373070966964692	-0.0440986969864989	0.222	0.106	1	"Neur"	"MAGED1"	"AD"	"Entorhinal Cortex"
"DNAJB142"	0.00373422711419877	0.0557514514928452	0.162	0.069	1	"Neur"	"DNAJB14"	"AD"	"Entorhinal Cortex"
"FGFR31"	0.0037625915473982	-1.1309561747071	0.026	0.112	1	"Neur"	"FGFR3"	"AD"	"Entorhinal Cortex"
"FAR2"	0.0037951191439763	0.154955821719169	0.154	0.064	1	"Neur"	"FAR2"	"AD"	"Entorhinal Cortex"
"NDUFAF21"	0.00383998603461497	0.121928679171812	0.111	0.039	1	"Neur"	"NDUFAF2"	"AD"	"Entorhinal Cortex"
"HS3ST5"	0.00388413477632547	0.188989032278864	0.145	0.06	1	"Neur"	"HS3ST5"	"AD"	"Entorhinal Cortex"
"ABCA81"	0.00391193588715653	-1.16930077882078	0.043	0.135	1	"Neur"	"ABCA8"	"AD"	"Entorhinal Cortex"
"CBR1"	0.00391193794837889	-1.15725286577808	0.043	0.135	1	"Neur"	"CBR1"	"AD"	"Entorhinal Cortex"
"PGBD5"	0.003917326797608	0.179095721555714	0.171	0.076	1	"Neur"	"PGBD5"	"AD"	"Entorhinal Cortex"
"SEC14L12"	0.00394435034942398	0.440045020313188	0.154	0.067	1	"Neur"	"SEC14L1"	"AD"	"Entorhinal Cortex"
"ZNF821"	0.00394580410559402	0.0805416383831012	0.154	0.064	1	"Neur"	"ZNF821"	"AD"	"Entorhinal Cortex"
"C1orf1321"	0.00396866773636074	0.119355042619625	0.197	0.089	1	"Neur"	"C1orf132"	"AD"	"Entorhinal Cortex"
"APBB2"	0.00401448008314267	0.153577771885867	0.256	0.131	1	"Neur"	"APBB2"	"AD"	"Entorhinal Cortex"
"NDFIP11"	0.00402408249531523	0.123623453649977	0.291	0.151	1	"Neur"	"NDFIP1"	"AD"	"Entorhinal Cortex"
"MGAT52"	0.00403185080751919	0.168016329942905	0.154	0.064	1	"Neur"	"MGAT5"	"AD"	"Entorhinal Cortex"
"RNASE12"	0.00404705038768644	-1.21486560076386	0.111	0.216	1	"Neur"	"RNASE1"	"AD"	"Entorhinal Cortex"
"GUCY1A2"	0.00409033583167255	0.08974967184243	0.188	0.085	1	"Neur"	"GUCY1A2"	"AD"	"Entorhinal Cortex"
"ZYG11B"	0.00410556185769986	0.0769047084854271	0.197	0.089	1	"Neur"	"ZYG11B"	"AD"	"Entorhinal Cortex"
"SYNJ1"	0.0041320666158048	0.0920160011757581	0.137	0.055	1	"Neur"	"SYNJ1"	"AD"	"Entorhinal Cortex"
"HARS"	0.00413370746959309	0.236970227787796	0.145	0.06	1	"Neur"	"HARS"	"AD"	"Entorhinal Cortex"
"KIAA2022"	0.00420574877761864	0.353910767501339	0.128	0.05	1	"Neur"	"KIAA2022"	"AD"	"Entorhinal Cortex"
"PCSK51"	0.00424040642487911	0.374054431969349	0.111	0.041	1	"Neur"	"PCSK5"	"AD"	"Entorhinal Cortex"
"OTUD4"	0.00424719848621743	0.154754715721372	0.137	0.055	1	"Neur"	"OTUD4"	"AD"	"Entorhinal Cortex"
"PHLDB12"	0.00426870491526201	-1.3163226298551	0.128	0.227	1	"Neur"	"PHLDB1"	"AD"	"Entorhinal Cortex"
"SENP72"	0.00429960666469566	0.0292196262178754	0.188	0.085	1	"Neur"	"SENP7"	"AD"	"Entorhinal Cortex"
"CLIP41"	0.00433798634577538	-0.0125300456291721	0.265	0.133	1	"Neur"	"CLIP4"	"AD"	"Entorhinal Cortex"
"IQSEC1"	0.00434535287366331	0.16477397553565	0.137	0.055	1	"Neur"	"IQSEC1"	"AD"	"Entorhinal Cortex"
"HOMER1"	0.00435989896044105	0.37034920156043	0.12	0.046	1	"Neur"	"HOMER1"	"AD"	"Entorhinal Cortex"
"ZNF385B"	0.00437075297570713	0.178114786041162	0.274	0.142	1	"Neur"	"ZNF385B"	"AD"	"Entorhinal Cortex"
"CENPC1"	0.0043755976617756	0.181884453630978	0.162	0.071	1	"Neur"	"CENPC"	"AD"	"Entorhinal Cortex"
"ITCH2"	0.00440301064858463	0.356203841814839	0.12	0.046	1	"Neur"	"ITCH"	"AD"	"Entorhinal Cortex"
"GLYR11"	0.00442470701465326	0.245151130171068	0.12	0.046	1	"Neur"	"GLYR1"	"AD"	"Entorhinal Cortex"
"DNAJC61"	0.00444244394413571	-0.0372404782630273	0.308	0.161	1	"Neur"	"DNAJC6"	"AD"	"Entorhinal Cortex"
"ATP5A1"	0.00445626532401274	0.158463514803999	0.145	0.06	1	"Neur"	"ATP5A1"	"AD"	"Entorhinal Cortex"
"ATXN102"	0.00447708722948614	0.066080192080515	0.222	0.108	1	"Neur"	"ATXN10"	"AD"	"Entorhinal Cortex"
"CCP1102"	0.00448169342914038	-1.3264722708462	0.137	0.239	1	"Neur"	"CCP110"	"AD"	"Entorhinal Cortex"
"CHCHD21"	0.00449039872204339	0.279475724911287	0.154	0.067	1	"Neur"	"CHCHD2"	"AD"	"Entorhinal Cortex"
"APOO2"	0.00449338124518039	0.0721202493399427	0.265	0.133	1	"Neur"	"APOO"	"AD"	"Entorhinal Cortex"
"RP11-192H23.4"	0.0045063394129266	0.417922130381721	0.137	0.057	1	"Neur"	"RP11-192H23.4"	"AD"	"Entorhinal Cortex"
"SESN12"	0.00450734997942254	0.00610071676522972	0.154	0.064	1	"Neur"	"SESN1"	"AD"	"Entorhinal Cortex"
"SH2B1"	0.00453540275063513	0.139883595240666	0.145	0.06	1	"Neur"	"SH2B1"	"AD"	"Entorhinal Cortex"
"AGAP11"	0.00455851026213739	-0.0299297746673748	0.342	0.183	1	"Neur"	"AGAP1"	"AD"	"Entorhinal Cortex"
"DENND4A2"	0.00460015889511957	-0.0365905451310542	0.308	0.158	1	"Neur"	"DENND4A"	"AD"	"Entorhinal Cortex"
"EGLN11"	0.00462270586451238	0.282757659575207	0.128	0.05	1	"Neur"	"EGLN1"	"AD"	"Entorhinal Cortex"
"RAB1A2"	0.00465227889671189	0.118931285240479	0.137	0.055	1	"Neur"	"RAB1A"	"AD"	"Entorhinal Cortex"
"RNGTT2"	0.00468380947976152	0.107577981603475	0.154	0.067	1	"Neur"	"RNGTT"	"AD"	"Entorhinal Cortex"
"MRPL1"	0.00468838057419266	0.125261837391997	0.128	0.05	1	"Neur"	"MRPL1"	"AD"	"Entorhinal Cortex"
"EPB41L4B"	0.00472152973780575	0.111086214691843	0.128	0.05	1	"Neur"	"EPB41L4B"	"AD"	"Entorhinal Cortex"
"SCN8A"	0.00473575017883979	-0.0631821025223962	0.205	0.096	1	"Neur"	"SCN8A"	"AD"	"Entorhinal Cortex"
"SAMD121"	0.00473603697666114	-0.118471950044423	0.436	0.243	1	"Neur"	"SAMD12"	"AD"	"Entorhinal Cortex"
"SPIRE2"	0.00476205762262893	0.155168323533515	0.12	0.046	1	"Neur"	"SPIRE2"	"AD"	"Entorhinal Cortex"
"FASTKD1"	0.00478535000868495	0.173971550428443	0.12	0.046	1	"Neur"	"FASTKD1"	"AD"	"Entorhinal Cortex"
"MMP241"	0.00478535431568101	0.23090756159671	0.12	0.046	1	"Neur"	"MMP24"	"AD"	"Entorhinal Cortex"
"IPO91"	0.00479971767601097	0.242171264949095	0.128	0.05	1	"Neur"	"IPO9"	"AD"	"Entorhinal Cortex"
"GMCL1"	0.00481889137220514	0.373296483005404	0.103	0.037	1	"Neur"	"GMCL1"	"AD"	"Entorhinal Cortex"
"GABRB2"	0.00484704604696081	-0.0228191407199723	0.427	0.239	1	"Neur"	"GABRB2"	"AD"	"Entorhinal Cortex"
"SEC631"	0.00486766415653974	0.12103966713337	0.137	0.055	1	"Neur"	"SEC63"	"AD"	"Entorhinal Cortex"
"OSBPL92"	0.00488473169044723	0.245392714157551	0.154	0.067	1	"Neur"	"OSBPL9"	"AD"	"Entorhinal Cortex"
"UQCRH"	0.00492569052142465	0.119917293534396	0.179	0.083	1	"Neur"	"UQCRH"	"AD"	"Entorhinal Cortex"
"CDH11"	0.00494920283999198	0.339753444558243	0.103	0.037	1	"Neur"	"CDH11"	"AD"	"Entorhinal Cortex"
"SHC3"	0.00495134016700611	0.145871195872976	0.12	0.046	1	"Neur"	"SHC3"	"AD"	"Entorhinal Cortex"
"EXOC42"	0.00495275831144926	-0.0381880062319684	0.325	0.172	1	"Neur"	"EXOC4"	"AD"	"Entorhinal Cortex"
"ORC3"	0.00497564444334629	0.243687078733508	0.103	0.037	1	"Neur"	"ORC3"	"AD"	"Entorhinal Cortex"
"DPP72"	0.0049765992763467	-1.24309053828568	0.171	0.266	1	"Neur"	"DPP7"	"AD"	"Entorhinal Cortex"
"RAB11FIP21"	0.00497870480512985	0.131073196275856	0.137	0.055	1	"Neur"	"RAB11FIP2"	"AD"	"Entorhinal Cortex"
"DKK31"	0.00499218497728263	0.0258129580576316	0.222	0.108	1	"Neur"	"DKK3"	"AD"	"Entorhinal Cortex"
"KCTD72"	0.00500353995005377	0.272322489626188	0.171	0.078	1	"Neur"	"KCTD7"	"AD"	"Entorhinal Cortex"
"ETV62"	0.0050557375080396	0.276460793729978	0.103	0.037	1	"Neur"	"ETV6"	"AD"	"Entorhinal Cortex"
"NSUN62"	0.00506507924025371	0.381189028010845	0.162	0.073	1	"Neur"	"NSUN6"	"AD"	"Entorhinal Cortex"
"POLN"	0.00507307075247786	0.110109886082361	0.12	0.046	1	"Neur"	"POLN"	"AD"	"Entorhinal Cortex"
"CCDC931"	0.00509773457371896	0.159816639414592	0.12	0.046	1	"Neur"	"CCDC93"	"AD"	"Entorhinal Cortex"
"KMT5B1"	0.00509773910133719	0.0935774392239961	0.12	0.046	1	"Neur"	"KMT5B"	"AD"	"Entorhinal Cortex"
"DCAF52"	0.00511096092383004	0.0840517680960422	0.162	0.071	1	"Neur"	"DCAF5"	"AD"	"Entorhinal Cortex"
"GOSR1"	0.00512259939399019	0.243493912270298	0.111	0.041	1	"Neur"	"GOSR1"	"AD"	"Entorhinal Cortex"
"CDC42SE22"	0.00513636715763457	0.0549955524099153	0.197	0.092	1	"Neur"	"CDC42SE2"	"AD"	"Entorhinal Cortex"
"GRB10"	0.00514740133401816	0.14060983779495	0.12	0.046	1	"Neur"	"GRB10"	"AD"	"Entorhinal Cortex"
"DCBLD2"	0.00517225927413104	0.0862009980440774	0.128	0.05	1	"Neur"	"DCBLD2"	"AD"	"Entorhinal Cortex"
"STXBP1"	0.00519929681146775	0.140222579381902	0.256	0.135	1	"Neur"	"STXBP1"	"AD"	"Entorhinal Cortex"
"SNX132"	0.0052190333732316	0.097111562517745	0.145	0.062	1	"Neur"	"SNX13"	"AD"	"Entorhinal Cortex"
"LHFPL3"	0.00521926226419384	0.323132800636344	0.179	0.085	1	"Neur"	"LHFPL3"	"AD"	"Entorhinal Cortex"
"CUEDC1"	0.00522271476699062	0.218506872376041	0.12	0.046	1	"Neur"	"CUEDC1"	"AD"	"Entorhinal Cortex"
"RNF1451"	0.00523677449028144	0.10097173788812	0.162	0.071	1	"Neur"	"RNF145"	"AD"	"Entorhinal Cortex"
"UTP6"	0.00525375940477624	0.17681184794219	0.111	0.041	1	"Neur"	"UTP6"	"AD"	"Entorhinal Cortex"
"KPNA32"	0.00526401836613334	0.193276956360202	0.145	0.062	1	"Neur"	"KPNA3"	"AD"	"Entorhinal Cortex"
"ZER11"	0.00530315917541687	-0.0224330987203785	0.299	0.156	1	"Neur"	"ZER1"	"AD"	"Entorhinal Cortex"
"ANKFY11"	0.00534959716192939	-0.0362620306465691	0.137	0.055	1	"Neur"	"ANKFY1"	"AD"	"Entorhinal Cortex"
"PPP1R10"	0.00535045204553461	0.113291366095465	0.12	0.046	1	"Neur"	"PPP1R10"	"AD"	"Entorhinal Cortex"
"ANXA7"	0.00535045204553461	0.0770480359369361	0.12	0.046	1	"Neur"	"ANXA7"	"AD"	"Entorhinal Cortex"
"CAMLG"	0.00536086342110932	0.135638478631821	0.111	0.041	1	"Neur"	"CAMLG"	"AD"	"Entorhinal Cortex"
"FAM133B1"	0.00536086342110932	0.0934228316338828	0.111	0.041	1	"Neur"	"FAM133B"	"AD"	"Entorhinal Cortex"
"UNKL"	0.00536086342110932	0.187642891162772	0.111	0.041	1	"Neur"	"UNKL"	"AD"	"Entorhinal Cortex"
"FXR12"	0.00536243562949304	-1.23145017281663	0.111	0.209	1	"Neur"	"FXR1"	"AD"	"Entorhinal Cortex"
"COLGALT12"	0.00538709259797133	-1.06737529675386	0.026	0.108	1	"Neur"	"COLGALT1"	"AD"	"Entorhinal Cortex"
"CPSF1"	0.00539311368893193	0.111829577749755	0.128	0.05	1	"Neur"	"CPSF1"	"AD"	"Entorhinal Cortex"
"PPP6R22"	0.00540860167050812	-0.0439702494046057	0.239	0.117	1	"Neur"	"PPP6R2"	"AD"	"Entorhinal Cortex"
"PIK3CA1"	0.00543276251066893	0.194304729645254	0.197	0.094	1	"Neur"	"PIK3CA"	"AD"	"Entorhinal Cortex"
"HNRNPH12"	0.00546151529712027	-1.10829192126559	0.077	0.174	1	"Neur"	"HNRNPH1"	"AD"	"Entorhinal Cortex"
"PPP2R5C2"	0.00547058369659736	0.0203026391331751	0.188	0.087	1	"Neur"	"PPP2R5C"	"AD"	"Entorhinal Cortex"
"NAA152"	0.00547394995238209	0.0991570283090832	0.103	0.037	1	"Neur"	"NAA15"	"AD"	"Entorhinal Cortex"
"TRPC5"	0.00550291709405573	0.218700941729689	0.103	0.037	1	"Neur"	"TRPC5"	"AD"	"Entorhinal Cortex"
"ZNF7181"	0.00553200511208373	0.190293008521766	0.103	0.037	1	"Neur"	"ZNF718"	"AD"	"Entorhinal Cortex"
"NMT2"	0.00555304932497323	0.113433776371729	0.111	0.041	1	"Neur"	"NMT2"	"AD"	"Entorhinal Cortex"
"CCDC136"	0.00556505792762109	0.178316043210057	0.145	0.062	1	"Neur"	"CCDC136"	"AD"	"Entorhinal Cortex"
"MLXIP1"	0.00565144423395827	0.0829789497191891	0.111	0.041	1	"Neur"	"MLXIP"	"AD"	"Entorhinal Cortex"
"RAP1A2"	0.00567194368527786	0.213774234949441	0.205	0.101	1	"Neur"	"RAP1A"	"AD"	"Entorhinal Cortex"
"TAF1D2"	0.00571343673193541	0.105223155930285	0.171	0.078	1	"Neur"	"TAF1D"	"AD"	"Entorhinal Cortex"
"SYT12"	0.00571715750664985	0.2695160685784	0.838	0.633	1	"Neur"	"SYT1"	"AD"	"Entorhinal Cortex"
"STAM2"	0.00573963273999201	0.0786914039343467	0.103	0.037	1	"Neur"	"STAM2"	"AD"	"Entorhinal Cortex"
"INO80D1"	0.00578247926073913	0.168834505844082	0.145	0.062	1	"Neur"	"INO80D"	"AD"	"Entorhinal Cortex"
"CAMSAP22"	0.0057963498956771	-0.0449051856581137	0.299	0.158	1	"Neur"	"CAMSAP2"	"AD"	"Entorhinal Cortex"
"PARG1"	0.00586140075839441	0.0776589880955521	0.103	0.037	1	"Neur"	"PARG"	"AD"	"Entorhinal Cortex"
"EPHB11"	0.00588230842355852	0.0365992980416198	0.111	0.041	1	"Neur"	"EPHB1"	"AD"	"Entorhinal Cortex"
"PHF142"	0.00594137809002584	0.0741638820439461	0.274	0.142	1	"Neur"	"PHF14"	"AD"	"Entorhinal Cortex"
"KDM5B1"	0.00603659378078624	-0.0465187056929821	0.179	0.083	1	"Neur"	"KDM5B"	"AD"	"Entorhinal Cortex"
"ZBTB18"	0.00613601170619259	-1.21119510556049	0.051	0.14	1	"Neur"	"ZBTB18"	"AD"	"Entorhinal Cortex"
"MBTPS1"	0.00615641942708518	0.280582042855431	0.128	0.053	1	"Neur"	"MBTPS1"	"AD"	"Entorhinal Cortex"
"CD221"	0.00618196214420546	-1.22907753019859	0.034	0.117	1	"Neur"	"CD22"	"AD"	"Entorhinal Cortex"
"SPPL2B1"	0.00618626480246105	0.050893066118584	0.154	0.067	1	"Neur"	"SPPL2B"	"AD"	"Entorhinal Cortex"
"POU6F2"	0.00620509790993264	0.204433404554992	0.111	0.044	1	"Neur"	"POU6F2"	"AD"	"Entorhinal Cortex"
"LHFPL4"	0.00628837578968722	0.0139643119642843	0.154	0.067	1	"Neur"	"LHFPL4"	"AD"	"Entorhinal Cortex"
"PRRC2C2"	0.00629893441277235	0.0400121629046932	0.205	0.099	1	"Neur"	"PRRC2C"	"AD"	"Entorhinal Cortex"
"SGMS12"	0.00630277371912597	0.216352759001671	0.197	0.096	1	"Neur"	"SGMS1"	"AD"	"Entorhinal Cortex"
"NDRG3"	0.00636665533808637	0.154310958577857	0.154	0.069	1	"Neur"	"NDRG3"	"AD"	"Entorhinal Cortex"
"CCT31"	0.00637332272932526	0.0189275203128538	0.145	0.062	1	"Neur"	"CCT3"	"AD"	"Entorhinal Cortex"
"PFDN52"	0.00637782576372586	-0.0247998670846961	0.282	0.147	1	"Neur"	"PFDN5"	"AD"	"Entorhinal Cortex"
"RP3-406A7.7"	0.00640604855720816	-1.25332092549401	0.06	0.149	1	"Neur"	"RP3-406A7.7"	"AD"	"Entorhinal Cortex"
"ASPH1"	0.00646264321071255	0.161285230787091	0.179	0.085	1	"Neur"	"ASPH"	"AD"	"Entorhinal Cortex"
"PPP2R2C"	0.00648394680898467	-0.120015344962534	0.154	0.067	1	"Neur"	"PPP2R2C"	"AD"	"Entorhinal Cortex"
"SEC24B2"	0.00651043221898776	0.0640673961737311	0.154	0.067	1	"Neur"	"SEC24B"	"AD"	"Entorhinal Cortex"
"PCMT1"	0.00656369107187805	-0.0342605813332243	0.154	0.067	1	"Neur"	"PCMT1"	"AD"	"Entorhinal Cortex"
"BRWD12"	0.00662900030516323	0.109698972198826	0.231	0.117	1	"Neur"	"BRWD1"	"AD"	"Entorhinal Cortex"
"MARK32"	0.00664472664895132	-0.0213119642332404	0.316	0.165	1	"Neur"	"MARK3"	"AD"	"Entorhinal Cortex"
"EXOC61"	0.00667410780682297	0.197859129970235	0.137	0.057	1	"Neur"	"EXOC6"	"AD"	"Entorhinal Cortex"
"SLC35F5"	0.0066760670146756	0.144056294163552	0.128	0.053	1	"Neur"	"SLC35F5"	"AD"	"Entorhinal Cortex"
"NUAK11"	0.00668272822855999	-1.10838683529566	0.051	0.14	1	"Neur"	"NUAK1"	"AD"	"Entorhinal Cortex"
"ATF2"	0.00676374052147618	0.236379993193155	0.154	0.069	1	"Neur"	"ATF2"	"AD"	"Entorhinal Cortex"
"CYHR12"	0.00676697698595956	-1.27904233178651	0.094	0.188	1	"Neur"	"CYHR1"	"AD"	"Entorhinal Cortex"
"ATF42"	0.00680458615742344	-1.21990948026671	0.077	0.17	1	"Neur"	"ATF4"	"AD"	"Entorhinal Cortex"
"RAB301"	0.00680524920865109	-0.00914921920970735	0.137	0.057	1	"Neur"	"RAB30"	"AD"	"Entorhinal Cortex"
"DCAF62"	0.0068117358753283	0.231946874787883	0.12	0.048	1	"Neur"	"DCAF6"	"AD"	"Entorhinal Cortex"
"RSBN1L2"	0.0068791045824127	0.119612892431387	0.137	0.057	1	"Neur"	"RSBN1L"	"AD"	"Entorhinal Cortex"
"WDR19"	0.00698149769278261	0.168092601369468	0.128	0.053	1	"Neur"	"WDR19"	"AD"	"Entorhinal Cortex"
"MDH1"	0.00704406904681912	0.0336858330790782	0.128	0.053	1	"Neur"	"MDH1"	"AD"	"Entorhinal Cortex"
"HMGCLL11"	0.00708576922239043	0.226057175200772	0.12	0.048	1	"Neur"	"HMGCLL1"	"AD"	"Entorhinal Cortex"
"ARHGAP231"	0.00709728891751385	-1.0204757265019	0.026	0.103	1	"Neur"	"ARHGAP23"	"AD"	"Entorhinal Cortex"
"VPS542"	0.0071203054389244	0.0244445404735015	0.137	0.057	1	"Neur"	"VPS54"	"AD"	"Entorhinal Cortex"
"ANKS6"	0.00714429315398243	0.251722551936048	0.111	0.044	1	"Neur"	"ANKS6"	"AD"	"Entorhinal Cortex"
"DPP101"	0.0073055252796075	0.604280730819054	0.444	0.298	1	"Neur"	"DPP10"	"AD"	"Entorhinal Cortex"
"BEX2"	0.00731901392046812	0.249405128834743	0.137	0.06	1	"Neur"	"BEX2"	"AD"	"Entorhinal Cortex"
"UBE2R21"	0.00732548872761891	0.105473739762746	0.179	0.085	1	"Neur"	"UBE2R2"	"AD"	"Entorhinal Cortex"
"CPNE7"	0.00738875984132259	0.300082557847503	0.103	0.039	1	"Neur"	"CPNE7"	"AD"	"Entorhinal Cortex"
"BRAF2"	0.00746973390047263	0.0809272392055596	0.274	0.144	1	"Neur"	"BRAF"	"AD"	"Entorhinal Cortex"
"CACNG8"	0.00752296905459497	0.131696832931754	0.197	0.096	1	"Neur"	"CACNG8"	"AD"	"Entorhinal Cortex"
"LPCAT4"	0.0075391863202856	0.278203257907941	0.137	0.06	1	"Neur"	"LPCAT4"	"AD"	"Entorhinal Cortex"
"SRSF62"	0.00765461643684435	-1.17429189910802	0.051	0.135	1	"Neur"	"SRSF6"	"AD"	"Entorhinal Cortex"
"TBC1D19"	0.00766370092295397	0.123943840704416	0.12	0.048	1	"Neur"	"TBC1D19"	"AD"	"Entorhinal Cortex"
"CDHR31"	0.00766408705470442	0.0439466917378295	0.128	0.053	1	"Neur"	"CDHR3"	"AD"	"Entorhinal Cortex"
"FAM134B"	0.00768522292760356	0.173524279653559	0.145	0.064	1	"Neur"	"FAM134B"	"AD"	"Entorhinal Cortex"
"SEMA4B1"	0.00769897704357949	0.0725305351820391	0.12	0.048	1	"Neur"	"SEMA4B"	"AD"	"Entorhinal Cortex"
"TIAM21"	0.00779761835335682	-0.0627578718133233	0.162	0.073	1	"Neur"	"TIAM2"	"AD"	"Entorhinal Cortex"
"TNRC6C1"	0.0078555349987161	0.0363609008210022	0.205	0.101	1	"Neur"	"TNRC6C"	"AD"	"Entorhinal Cortex"
"CIT"	0.00791047198017948	-0.0390401424634312	0.197	0.096	1	"Neur"	"CIT"	"AD"	"Entorhinal Cortex"
"FAM120B2"	0.00794887481836217	-0.0922091284760262	0.214	0.103	1	"Neur"	"FAM120B"	"AD"	"Entorhinal Cortex"
"PSMD12"	0.00797986382417414	-0.0409639643734953	0.162	0.073	1	"Neur"	"PSMD1"	"AD"	"Entorhinal Cortex"
"RAPH12"	0.00800628382029047	0.325687093328401	0.103	0.039	1	"Neur"	"RAPH1"	"AD"	"Entorhinal Cortex"
"NRIP3"	0.00806490069477012	0.225633447475055	0.137	0.06	1	"Neur"	"NRIP3"	"AD"	"Entorhinal Cortex"
"H2AFV"	0.00811058166613185	-1.08692006749082	0.034	0.112	1	"Neur"	"H2AFV"	"AD"	"Entorhinal Cortex"
"CTDSPL1"	0.0081499440935026	0.145895893917546	0.137	0.06	1	"Neur"	"CTDSPL"	"AD"	"Entorhinal Cortex"
"MAPRE31"	0.00817099181497982	0.0759990421982476	0.12	0.048	1	"Neur"	"MAPRE3"	"AD"	"Entorhinal Cortex"
"FAM135A2"	0.00817119542414539	0.0809589868277689	0.179	0.085	1	"Neur"	"FAM135A"	"AD"	"Entorhinal Cortex"
"METAP2"	0.0082091729689657	0.137463957115606	0.111	0.044	1	"Neur"	"METAP2"	"AD"	"Entorhinal Cortex"
"PHF20L11"	0.00828825371916254	0.101183115374934	0.171	0.08	1	"Neur"	"PHF20L1"	"AD"	"Entorhinal Cortex"
"RIC12"	0.00829069067777129	0.245414153445961	0.103	0.039	1	"Neur"	"RIC1"	"AD"	"Entorhinal Cortex"
"PAQR82"	0.00832735403707718	-1.11769082154497	0.034	0.112	1	"Neur"	"PAQR8"	"AD"	"Entorhinal Cortex"
"CEPT11"	0.0083320497667902	0.374945355680582	0.103	0.039	1	"Neur"	"CEPT1"	"AD"	"Entorhinal Cortex"
"AKT21"	0.00834437699332365	-1.14990544682633	0.051	0.135	1	"Neur"	"AKT2"	"AD"	"Entorhinal Cortex"
"HIBADH1"	0.00836670413932754	0.0705706872727758	0.111	0.044	1	"Neur"	"HIBADH"	"AD"	"Entorhinal Cortex"
"MKL22"	0.00843600689492057	0.163449146396781	0.222	0.117	1	"Neur"	"MKL2"	"AD"	"Entorhinal Cortex"
"LDB2"	0.00853324653042844	-0.0818503599757576	0.179	0.085	1	"Neur"	"LDB2"	"AD"	"Entorhinal Cortex"
