"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"	"region"
"ATP1B12"	0.00168926503417381	-0.0771400731063592	0.307	0.486	1	"Neur"	"ATP1B1"	"male"	"Entorhinal Cortex"
"RP3-399L15.32"	0.00169053825343819	-0.195666959468083	0.05	0.114	1	"Neur"	"RP3-399L15.3"	"male"	"Entorhinal Cortex"
"AP3B2"	0.001695168013627	-0.068410134267629	0.048	0.111	1	"Neur"	"AP3B2"	"male"	"Entorhinal Cortex"
"CDHR31"	0.0016973651498977	0.0427273037653397	0.053	0.119	1	"Neur"	"CDHR3"	"male"	"Entorhinal Cortex"
"CTNNA12"	0.00170468146743456	1.02095393406365	0.147	0.084	1	"Neur"	"CTNNA1"	"male"	"Entorhinal Cortex"
"THOC22"	0.00170517159689339	-0.15225888764789	0.069	0.141	1	"Neur"	"THOC2"	"male"	"Entorhinal Cortex"
"ZFYVE281"	0.00170816590691509	0.00457157716477807	0.106	0.195	1	"Neur"	"ZFYVE28"	"male"	"Entorhinal Cortex"
"PTPRD2"	0.00171237427168159	-0.112184790356038	0.58	0.805	1	"Neur"	"PTPRD"	"male"	"Entorhinal Cortex"
"NUBPL1"	0.00171688296179164	-0.199460526262576	0.05	0.114	1	"Neur"	"NUBPL"	"male"	"Entorhinal Cortex"
"C16orf45"	0.0017502994090934	0.0156000957842357	0.094	0.181	1	"Neur"	"C16orf45"	"male"	"Entorhinal Cortex"
"CBR42"	0.00175412620084668	-0.0828657369489784	0.055	0.122	1	"Neur"	"CBR4"	"male"	"Entorhinal Cortex"
"KIF3A1"	0.00175847029361	0.00218944645379504	0.122	0.222	1	"Neur"	"KIF3A"	"male"	"Entorhinal Cortex"
"MKL12"	0.00176763213047678	-0.0157985982825843	0.133	0.235	1	"Neur"	"MKL1"	"male"	"Entorhinal Cortex"
"GALNT22"	0.00177959313098316	-0.0129640214520391	0.064	0.135	1	"Neur"	"GALNT2"	"male"	"Entorhinal Cortex"
"TMEM41B1"	0.0017807199332281	-0.131213604459626	0.048	0.111	1	"Neur"	"TMEM41B"	"male"	"Entorhinal Cortex"
"DENND1B1"	0.00178138055468306	0.0870492247312775	0.083	0.165	1	"Neur"	"DENND1B"	"male"	"Entorhinal Cortex"
"ACTB2"	0.0017868660510614	0.672815407994643	0.429	0.392	1	"Neur"	"ACTB"	"male"	"Entorhinal Cortex"
"STAU1"	0.00180413973451728	-0.15281670016482	0.05	0.114	1	"Neur"	"STAU1"	"male"	"Entorhinal Cortex"
"RSRC21"	0.00180674671025197	-0.0655498311760925	0.048	0.111	1	"Neur"	"RSRC2"	"male"	"Entorhinal Cortex"
"KDM6A2"	0.00180906049717913	0.0133402597315778	0.055	0.122	1	"Neur"	"KDM6A"	"male"	"Entorhinal Cortex"
"VPS13A1"	0.00182604357129789	-0.0387219811085004	0.101	0.189	1	"Neur"	"VPS13A"	"male"	"Entorhinal Cortex"
"RABL61"	0.00183037740126315	0.980249333573269	0.128	0.068	1	"Neur"	"RABL6"	"male"	"Entorhinal Cortex"
"LYPLAL12"	0.00183389150767501	-0.157553522073441	0.046	0.105	1	"Neur"	"LYPLAL1"	"male"	"Entorhinal Cortex"
"FRS21"	0.00183763632668717	-0.289189149172329	0.048	0.108	1	"Neur"	"FRS2"	"male"	"Entorhinal Cortex"
"SNPH1"	0.00184963118822097	1.18333381299115	0.135	0.076	1	"Neur"	"SNPH"	"male"	"Entorhinal Cortex"
"CALY"	0.00185365069507968	-0.0667838632745875	0.048	0.111	1	"Neur"	"CALY"	"male"	"Entorhinal Cortex"
"ZFPM21"	0.00185917578166792	-0.686379568967591	0.213	0.311	1	"Neur"	"ZFPM2"	"male"	"Entorhinal Cortex"
"SOS12"	0.00187212979791221	-0.0187706722205605	0.147	0.254	1	"Neur"	"SOS1"	"male"	"Entorhinal Cortex"
"SH3GLB1"	0.001895456664366	0.015135752502298	0.05	0.114	1	"Neur"	"SH3GLB1"	"male"	"Entorhinal Cortex"
"CEP1641"	0.00189760168593169	-0.216867326611166	0.046	0.105	1	"Neur"	"CEP164"	"male"	"Entorhinal Cortex"
"KCNJ6"	0.00190141439993189	0.00217518654806748	0.064	0.135	1	"Neur"	"KCNJ6"	"male"	"Entorhinal Cortex"
"ZFR2"	0.00191551114410439	-0.0385082522455014	0.041	0.1	1	"Neur"	"ZFR2"	"male"	"Entorhinal Cortex"
"CPSF3L1"	0.00191823845801369	1.092794044904	0.193	0.127	1	"Neur"	"CPSF3L"	"male"	"Entorhinal Cortex"
"TAGLN3"	0.0019533550783578	-0.0170158404440344	0.089	0.17	1	"Neur"	"TAGLN3"	"male"	"Entorhinal Cortex"
"PI4KA2"	0.00195623287154117	-0.00772731716387742	0.117	0.211	1	"Neur"	"PI4KA"	"male"	"Entorhinal Cortex"
"RABEP12"	0.00197096948458814	0.0174023026879568	0.099	0.184	1	"Neur"	"RABEP1"	"male"	"Entorhinal Cortex"
"ATP6V0B2"	0.00199008341328978	0.86068513590177	0.236	0.17	1	"Neur"	"ATP6V0B"	"male"	"Entorhinal Cortex"
"PPFIA4"	0.00199270727510937	-0.0908509578384824	0.057	0.124	1	"Neur"	"PPFIA4"	"male"	"Entorhinal Cortex"
"AGAP12"	0.00202163147802784	0.0334399219759849	0.183	0.305	1	"Neur"	"AGAP1"	"male"	"Entorhinal Cortex"
"SPECC11"	0.00202195510419236	0.0116099285944339	0.062	0.132	1	"Neur"	"SPECC1"	"male"	"Entorhinal Cortex"
"GLG12"	0.00202945973446175	0.0265125722781601	0.147	0.257	1	"Neur"	"GLG1"	"male"	"Entorhinal Cortex"
"CWF19L22"	0.00203325236811979	-0.116199907837161	0.062	0.13	1	"Neur"	"CWF19L2"	"male"	"Entorhinal Cortex"
"SQSTM11"	0.0020587132931011	0.963026681767717	0.172	0.108	1	"Neur"	"SQSTM1"	"male"	"Entorhinal Cortex"
"ACAP31"	0.00206274267354589	1.08215047351901	0.204	0.138	1	"Neur"	"ACAP3"	"male"	"Entorhinal Cortex"
"SMG9"	0.0020801268449202	0.768954560024825	0.101	0.046	1	"Neur"	"SMG9"	"male"	"Entorhinal Cortex"
"PPHLN12"	0.00208139219015835	-0.150389759716017	0.064	0.132	1	"Neur"	"PPHLN1"	"male"	"Entorhinal Cortex"
"CDK132"	0.00208417489852143	-0.0351922705044947	0.112	0.203	1	"Neur"	"CDK13"	"male"	"Entorhinal Cortex"
"TCF122"	0.00208502616260279	0.095567168811566	0.257	0.422	1	"Neur"	"TCF12"	"male"	"Entorhinal Cortex"
"RP11-83A24.22"	0.0021046156524898	-0.0677551955145033	0.05	0.114	1	"Neur"	"RP11-83A24.2"	"male"	"Entorhinal Cortex"
"MICAL31"	0.00211884414535326	0.0407532392950831	0.156	0.27	1	"Neur"	"MICAL3"	"male"	"Entorhinal Cortex"
"ABL21"	0.00215813990363528	-0.123746828243259	0.062	0.13	1	"Neur"	"ABL2"	"male"	"Entorhinal Cortex"
"USP251"	0.00218218674304294	-0.0999544096199991	0.062	0.13	1	"Neur"	"USP25"	"male"	"Entorhinal Cortex"
"GIPC1"	0.00219449609807667	-0.0414735763184557	0.044	0.103	1	"Neur"	"GIPC1"	"male"	"Entorhinal Cortex"
"NT5C22"	0.00219687576145775	-0.0430920181686634	0.078	0.154	1	"Neur"	"NT5C2"	"male"	"Entorhinal Cortex"
"PPP3CA2"	0.00220603528574215	-0.0858434179711507	0.328	0.505	1	"Neur"	"PPP3CA"	"male"	"Entorhinal Cortex"
"SLC17A7"	0.00221050903018976	0.743389625467696	0.138	0.073	1	"Neur"	"SLC17A7"	"male"	"Entorhinal Cortex"
"DCX"	0.00221527039615357	-0.0482295162137052	0.053	0.116	1	"Neur"	"DCX"	"male"	"Entorhinal Cortex"
"CUL12"	0.00222947941885179	-0.0216360835752866	0.053	0.116	1	"Neur"	"CUL1"	"male"	"Entorhinal Cortex"
"FAM169A"	0.00223661462676133	0.193680896167662	0.053	0.116	1	"Neur"	"FAM169A"	"male"	"Entorhinal Cortex"
"SYNDIG11"	0.00224000715837649	0.00794215500609652	0.062	0.13	1	"Neur"	"SYNDIG1"	"male"	"Entorhinal Cortex"
"PHYHIPL1"	0.0022433872421666	-0.0190011158041925	0.11	0.2	1	"Neur"	"PHYHIPL"	"male"	"Entorhinal Cortex"
"PABPN12"	0.0022590112801072	0.989337717548096	0.28	0.222	1	"Neur"	"PABPN1"	"male"	"Entorhinal Cortex"
"ZSWIM62"	0.00231263282559125	0.0320331494789319	0.177	0.295	1	"Neur"	"ZSWIM6"	"male"	"Entorhinal Cortex"
"LANCL11"	0.00233322856267282	-0.0656186023010719	0.108	0.195	1	"Neur"	"LANCL1"	"male"	"Entorhinal Cortex"
"IGF1R1"	0.0023548321776375	0.106558218607136	0.122	0.219	1	"Neur"	"IGF1R"	"male"	"Entorhinal Cortex"
"PPP4R1"	0.00237170052363247	0.0305229504020137	0.046	0.105	1	"Neur"	"PPP4R1"	"male"	"Entorhinal Cortex"
"PKM2"	0.00239921679928212	-0.0307173728881147	0.161	0.27	1	"Neur"	"PKM"	"male"	"Entorhinal Cortex"
"TRIM24"	0.0024464879758814	-0.203329312390157	0.05	0.111	1	"Neur"	"TRIM24"	"male"	"Entorhinal Cortex"
"PKN22"	0.00245119589012067	-0.00684580359842757	0.101	0.186	1	"Neur"	"PKN2"	"male"	"Entorhinal Cortex"
"MAPK14"	0.00245442443854477	-0.172592084403676	0.05	0.111	1	"Neur"	"MAPK14"	"male"	"Entorhinal Cortex"
"TBC1D321"	0.00246172666008199	-0.171202236560935	0.069	0.138	1	"Neur"	"TBC1D32"	"male"	"Entorhinal Cortex"
"TLN22"	0.00246586983329216	-0.0137508746603123	0.087	0.165	1	"Neur"	"TLN2"	"male"	"Entorhinal Cortex"
"ZC3H15"	0.00254540376792905	-0.198219173510631	0.053	0.114	1	"Neur"	"ZC3H15"	"male"	"Entorhinal Cortex"
"SND12"	0.00257450916440997	0.107028839697866	0.078	0.154	1	"Neur"	"SND1"	"male"	"Entorhinal Cortex"
"BCAN2"	0.00258548491045628	0.901317047635805	0.128	0.07	1	"Neur"	"BCAN"	"male"	"Entorhinal Cortex"
"MAN1A11"	0.00261846325172569	-0.173382546321401	0.044	0.1	1	"Neur"	"MAN1A1"	"male"	"Entorhinal Cortex"
"ELP42"	0.00262179298288451	-0.0641099870504045	0.11	0.195	1	"Neur"	"ELP4"	"male"	"Entorhinal Cortex"
"PRKCB1"	0.00262935164828878	0.00282986479623015	0.186	0.305	1	"Neur"	"PRKCB"	"male"	"Entorhinal Cortex"
"SCG31"	0.00263381565511615	-0.0477246339897327	0.057	0.122	1	"Neur"	"SCG3"	"male"	"Entorhinal Cortex"
"WDR111"	0.00263511376825256	-0.149431626981427	0.05	0.111	1	"Neur"	"WDR11"	"male"	"Entorhinal Cortex"
"MIA3"	0.0026363285574652	-0.181858086324237	0.044	0.1	1	"Neur"	"MIA3"	"male"	"Entorhinal Cortex"
"PRPF40A"	0.0026363285574652	-0.180473050325732	0.044	0.1	1	"Neur"	"PRPF40A"	"male"	"Entorhinal Cortex"
"SYT3"	0.00266977751036154	-0.0209816936790078	0.048	0.108	1	"Neur"	"SYT3"	"male"	"Entorhinal Cortex"
"XRN2"	0.00267845021195879	-0.19439296214371	0.044	0.1	1	"Neur"	"XRN2"	"male"	"Entorhinal Cortex"
"APBB12"	0.00271736903987264	0.826104689696589	0.273	0.216	1	"Neur"	"APBB1"	"male"	"Entorhinal Cortex"
"PPME1"	0.00273885518168119	-0.209197430972895	0.046	0.103	1	"Neur"	"PPME1"	"male"	"Entorhinal Cortex"
"PHC32"	0.00276183602890632	-0.0571534957003457	0.08	0.154	1	"Neur"	"PHC3"	"male"	"Entorhinal Cortex"
"OGDH1"	0.00276454484781016	-0.043805151934054	0.044	0.1	1	"Neur"	"OGDH"	"male"	"Entorhinal Cortex"
"DNAJA12"	0.00280072929622411	0.852224492156582	0.135	0.076	1	"Neur"	"DNAJA1"	"male"	"Entorhinal Cortex"
"TNPO2"	0.00280648199444926	1.04577973072625	0.122	0.065	1	"Neur"	"TNPO2"	"male"	"Entorhinal Cortex"
"GRM1"	0.0028143766893222	0.060510400244189	0.122	0.214	1	"Neur"	"GRM1"	"male"	"Entorhinal Cortex"
"PRKCSH1"	0.00285750549125421	0.91662571378788	0.112	0.057	1	"Neur"	"PRKCSH"	"male"	"Entorhinal Cortex"
"RALGAPA22"	0.00288106654562687	0.0934519328930407	0.055	0.119	1	"Neur"	"RALGAPA2"	"male"	"Entorhinal Cortex"
"BICC1"	0.00293775873795602	-0.0496306597846813	0.044	0.1	1	"Neur"	"BICC1"	"male"	"Entorhinal Cortex"
"RP5-857K21.41"	0.00301466234963426	0.112516251986909	0.073	0.146	1	"Neur"	"RP5-857K21.4"	"male"	"Entorhinal Cortex"
"FKBP21"	0.00302541576280853	0.996948392040482	0.131	0.073	1	"Neur"	"FKBP2"	"male"	"Entorhinal Cortex"
"FAM49A2"	0.00303425483612974	0.0302931957829395	0.096	0.178	1	"Neur"	"FAM49A"	"male"	"Entorhinal Cortex"
"LARP4B2"	0.00304752805394147	-0.104994328535389	0.062	0.127	1	"Neur"	"LARP4B"	"male"	"Entorhinal Cortex"
"SLC25A292"	0.00305559429769579	1.08184927811049	0.2	0.141	1	"Neur"	"SLC25A29"	"male"	"Entorhinal Cortex"
"FAM73A"	0.00306580954754679	-0.130592931211795	0.046	0.103	1	"Neur"	"FAM73A"	"male"	"Entorhinal Cortex"
"ADGRV12"	0.00310101301958845	-0.156064199261525	0.067	0.132	1	"Neur"	"ADGRV1"	"male"	"Entorhinal Cortex"
"QKI2"	0.00310454204106809	0.639984066087373	0.516	0.546	1	"Neur"	"QKI"	"male"	"Entorhinal Cortex"
"MAP2K42"	0.00311677047491256	0.0557807438588811	0.144	0.246	1	"Neur"	"MAP2K4"	"male"	"Entorhinal Cortex"
"APOE2"	0.00313368323494921	0.0707995648383928	0.186	0.311	1	"Neur"	"APOE"	"male"	"Entorhinal Cortex"
"GUCY1B3"	0.0031634150680033	-0.00130894052553643	0.071	0.141	1	"Neur"	"GUCY1B3"	"male"	"Entorhinal Cortex"
"SRSF72"	0.00317947831389384	-0.151805743159945	0.069	0.135	1	"Neur"	"SRSF7"	"male"	"Entorhinal Cortex"
"CD200"	0.00318710455704919	-0.0210593104878611	0.053	0.114	1	"Neur"	"CD200"	"male"	"Entorhinal Cortex"
"CROCC"	0.0032289064929573	0.0732604488165933	0.067	0.135	1	"Neur"	"CROCC"	"male"	"Entorhinal Cortex"
"SLIT2"	0.00323250977674781	0.13861905541612	0.128	0.222	1	"Neur"	"SLIT2"	"male"	"Entorhinal Cortex"
"NBL1"	0.00323975573366494	-0.23611084049113	0.06	0.122	1	"Neur"	"NBL1"	"male"	"Entorhinal Cortex"
"PKNOX2"	0.00328946012676843	-0.0264014135781963	0.071	0.141	1	"Neur"	"PKNOX2"	"male"	"Entorhinal Cortex"
"TRIP122"	0.00330431684264367	0.00823422327287648	0.117	0.208	1	"Neur"	"TRIP12"	"male"	"Entorhinal Cortex"
"MADD1"	0.00330697178720946	0.898741632666132	0.131	0.073	1	"Neur"	"MADD"	"male"	"Entorhinal Cortex"
"CCNI2"	0.00330731812100743	-0.10672401978389	0.174	0.281	1	"Neur"	"CCNI"	"male"	"Entorhinal Cortex"
"TOP2B1"	0.00333927200050907	-0.129088974846282	0.085	0.159	1	"Neur"	"TOP2B"	"male"	"Entorhinal Cortex"
"KIAA02321"	0.00335521943572775	-0.0684530827128851	0.122	0.211	1	"Neur"	"KIAA0232"	"male"	"Entorhinal Cortex"
"LTBP31"	0.00337230335158972	1.04210494551931	0.156	0.097	1	"Neur"	"LTBP3"	"male"	"Entorhinal Cortex"
"CLTC2"	0.0034225647372523	0.0472237795095583	0.099	0.181	1	"Neur"	"CLTC"	"male"	"Entorhinal Cortex"
"NAA38"	0.00344249498363329	-0.226086200048775	0.06	0.122	1	"Neur"	"NAA38"	"male"	"Entorhinal Cortex"
"LRRC37A31"	0.00345066274822781	0.0226559803936339	0.099	0.181	1	"Neur"	"LRRC37A3"	"male"	"Entorhinal Cortex"
"PDE2A"	0.00347011873769771	0.0548042175521183	0.067	0.135	1	"Neur"	"PDE2A"	"male"	"Entorhinal Cortex"
"HIP1R1"	0.00347379720879562	1.02322616337518	0.135	0.078	1	"Neur"	"HIP1R"	"male"	"Entorhinal Cortex"
"RALGPS11"	0.00347418166031674	-0.0442564081527075	0.096	0.176	1	"Neur"	"RALGPS1"	"male"	"Entorhinal Cortex"
"SERF22"	0.00348758721696907	0.851466560826886	0.257	0.197	1	"Neur"	"SERF2"	"male"	"Entorhinal Cortex"
"FBXO44"	0.00349120453923573	-0.0682961607201228	0.064	0.13	1	"Neur"	"FBXO44"	"male"	"Entorhinal Cortex"
"KMT2C2"	0.00350109328093947	0.0569226458540484	0.172	0.284	1	"Neur"	"KMT2C"	"male"	"Entorhinal Cortex"
"CEP3502"	0.00354249343864947	-0.068876699036603	0.099	0.178	1	"Neur"	"CEP350"	"male"	"Entorhinal Cortex"
"PDCD6IP2"	0.00356075365909411	-0.146247938629834	0.048	0.105	1	"Neur"	"PDCD6IP"	"male"	"Entorhinal Cortex"
"FRA10AC11"	0.0036139324653824	-0.00743570930359971	0.055	0.116	1	"Neur"	"FRA10AC1"	"male"	"Entorhinal Cortex"
"TMEM63B1"	0.00361398554557443	1.10755746100768	0.188	0.13	1	"Neur"	"TMEM63B"	"male"	"Entorhinal Cortex"
"DENND4B1"	0.00365999970447473	0.726456500424308	0.101	0.049	1	"Neur"	"DENND4B"	"male"	"Entorhinal Cortex"
"ATP2B12"	0.00368482156395515	0.176680603959021	0.222	0.362	1	"Neur"	"ATP2B1"	"male"	"Entorhinal Cortex"
"CLIP11"	0.00374967997306109	0.0904699027129667	0.085	0.159	1	"Neur"	"CLIP1"	"male"	"Entorhinal Cortex"
"ATXN102"	0.00377571320488398	0.11377448406383	0.108	0.195	1	"Neur"	"ATXN10"	"male"	"Entorhinal Cortex"
"BCLAF12"	0.0038205651882443	-0.0562511926149196	0.101	0.181	1	"Neur"	"BCLAF1"	"male"	"Entorhinal Cortex"
"SDF4"	0.00386147043733407	0.0746633687901569	0.062	0.127	1	"Neur"	"SDF4"	"male"	"Entorhinal Cortex"
"AFF2"	0.00390816160146355	-0.0447608053297786	0.064	0.13	1	"Neur"	"AFF2"	"male"	"Entorhinal Cortex"
"DPYSL5"	0.00390816319855709	0.0850870666417329	0.064	0.13	1	"Neur"	"DPYSL5"	"male"	"Entorhinal Cortex"
"CSNK1A12"	0.00390968684713268	-0.150935514779421	0.147	0.241	1	"Neur"	"CSNK1A1"	"male"	"Entorhinal Cortex"
"PPM1K1"	0.00396508282603564	0.0296547069820936	0.112	0.197	1	"Neur"	"PPM1K"	"male"	"Entorhinal Cortex"
"RAPGEF5"	0.00396528357484993	-0.12468750671972	0.131	0.222	1	"Neur"	"RAPGEF5"	"male"	"Entorhinal Cortex"
"CA10"	0.00396704791700546	-0.358633857465032	0.142	0.224	1	"Neur"	"CA10"	"male"	"Entorhinal Cortex"
"NIN1"	0.00401166299651476	-0.127221931134712	0.062	0.124	1	"Neur"	"NIN"	"male"	"Entorhinal Cortex"
"TMEM145"	0.00401386585596917	0.167797177859152	0.096	0.178	1	"Neur"	"TMEM145"	"male"	"Entorhinal Cortex"
"PDZD41"	0.00403251843879411	0.870173902942973	0.165	0.103	1	"Neur"	"PDZD4"	"male"	"Entorhinal Cortex"
"SEZ6L2"	0.00403295625364677	0.0473374268043445	0.115	0.203	1	"Neur"	"SEZ6L2"	"male"	"Entorhinal Cortex"
"UBB2"	0.00403618089672441	0.71916893012138	0.303	0.246	1	"Neur"	"UBB"	"male"	"Entorhinal Cortex"
"ZFAND51"	0.00406097088953894	0.868678535757704	0.17	0.108	1	"Neur"	"ZFAND5"	"male"	"Entorhinal Cortex"
"MTMR6"	0.00406996586458126	-0.0514565345630699	0.053	0.111	1	"Neur"	"MTMR6"	"male"	"Entorhinal Cortex"
"SGSM3"	0.00410912993925579	0.834424463044941	0.128	0.073	1	"Neur"	"SGSM3"	"male"	"Entorhinal Cortex"
"KMT2A1"	0.00412214020018051	0.174187890071828	0.158	0.265	1	"Neur"	"KMT2A"	"male"	"Entorhinal Cortex"
"ATP6V1F"	0.00412616677591962	-0.258284192646325	0.057	0.116	1	"Neur"	"ATP6V1F"	"male"	"Entorhinal Cortex"
"PCDH71"	0.00417274475155044	0.0592438025954789	0.195	0.311	1	"Neur"	"PCDH7"	"male"	"Entorhinal Cortex"
"ACTR10"	0.00418267277750691	0.0437993309232121	0.06	0.122	1	"Neur"	"ACTR10"	"male"	"Entorhinal Cortex"
"EID12"	0.00419104992091309	0.0405343282145969	0.078	0.149	1	"Neur"	"EID1"	"male"	"Entorhinal Cortex"
"ARL6IP42"	0.00420118081563942	0.966173540904637	0.195	0.135	1	"Neur"	"ARL6IP4"	"male"	"Entorhinal Cortex"
"ELAVL4"	0.0042063001049604	-0.00405726646710702	0.076	0.146	1	"Neur"	"ELAVL4"	"male"	"Entorhinal Cortex"
"KCNIP42"	0.00426628176857246	-0.474755807665345	0.635	0.765	1	"Neur"	"KCNIP4"	"male"	"Entorhinal Cortex"
"PAIP2"	0.00429135698866278	-0.101627535609684	0.046	0.1	1	"Neur"	"PAIP2"	"male"	"Entorhinal Cortex"
"PRKAA2"	0.00429555836236415	-0.0506941197796629	0.078	0.149	1	"Neur"	"PRKAA2"	"male"	"Entorhinal Cortex"
"ALCAM2"	0.00434199210051059	-0.077406376975431	0.144	0.238	1	"Neur"	"ALCAM"	"male"	"Entorhinal Cortex"
"ITPK11"	0.00434703517764228	1.04117460678099	0.124	0.07	1	"Neur"	"ITPK1"	"male"	"Entorhinal Cortex"
"OPHN12"	0.00435847603880371	-0.00672700665470582	0.092	0.168	1	"Neur"	"OPHN1"	"male"	"Entorhinal Cortex"
"MAGED11"	0.00441693825487973	0.191569126308071	0.106	0.189	1	"Neur"	"MAGED1"	"male"	"Entorhinal Cortex"
"RAB26"	0.00443189971638312	0.00942768528847127	0.046	0.1	1	"Neur"	"RAB26"	"male"	"Entorhinal Cortex"
"HNRNPD2"	0.00448207001017505	-0.210377062194228	0.069	0.132	1	"Neur"	"HNRNPD"	"male"	"Entorhinal Cortex"
"CHL11"	0.00449337030967579	0.0274016748769319	0.183	0.297	1	"Neur"	"CHL1"	"male"	"Entorhinal Cortex"
"ATF61"	0.00453262603223508	-0.132303711300349	0.055	0.114	1	"Neur"	"ATF6"	"male"	"Entorhinal Cortex"
"TF2"	0.00459154309784658	0.856408158140515	0.177	0.116	1	"Neur"	"TF"	"male"	"Entorhinal Cortex"
"MTDH2"	0.00461124396630655	0.0923446280961233	0.096	0.176	1	"Neur"	"MTDH"	"male"	"Entorhinal Cortex"
"SEZ6L"	0.00463138350819199	-0.146800780485139	0.094	0.168	1	"Neur"	"SEZ6L"	"male"	"Entorhinal Cortex"
"CDKN1B"	0.0046529058304757	0.664083833047399	0.108	0.054	1	"Neur"	"CDKN1B"	"male"	"Entorhinal Cortex"
"SELM1"	0.00465985495745703	0.049764061096877	0.078	0.149	1	"Neur"	"SELM"	"male"	"Entorhinal Cortex"
"DIRAS2"	0.00466216763365298	-0.373215144710057	0.055	0.111	1	"Neur"	"DIRAS2"	"male"	"Entorhinal Cortex"
"PIK3CA1"	0.00469735825830922	-0.0325781556913718	0.094	0.17	1	"Neur"	"PIK3CA"	"male"	"Entorhinal Cortex"
"LRPPRC2"	0.00470466325721794	-0.0746875103453546	0.064	0.127	1	"Neur"	"LRPPRC"	"male"	"Entorhinal Cortex"
"TSC1"	0.00472556826394162	-0.116109988453283	0.046	0.1	1	"Neur"	"TSC1"	"male"	"Entorhinal Cortex"
"PTPN21"	0.00472683535009775	-0.0831612380704075	0.064	0.127	1	"Neur"	"PTPN2"	"male"	"Entorhinal Cortex"
"KHDRBS31"	0.00476097079776647	-0.145680445657889	0.087	0.159	1	"Neur"	"KHDRBS3"	"male"	"Entorhinal Cortex"
"DNER1"	0.00477317081648624	0.116533537338861	0.275	0.441	1	"Neur"	"DNER"	"male"	"Entorhinal Cortex"
"DYNLL12"	0.00477831904351995	0.76813728135371	0.323	0.284	1	"Neur"	"DYNLL1"	"male"	"Entorhinal Cortex"
"GABARAPL21"	0.00482346023305196	-0.218325801304462	0.057	0.116	1	"Neur"	"GABARAPL2"	"male"	"Entorhinal Cortex"
"ATP6AP2"	0.00486988023324719	-0.00402875421937154	0.071	0.138	1	"Neur"	"ATP6AP2"	"male"	"Entorhinal Cortex"
"ADCK31"	0.00487903127142184	0.960890118541133	0.133	0.078	1	"Neur"	"ADCK3"	"male"	"Entorhinal Cortex"
"AP1G1"	0.00488320038186024	0.00937280449210454	0.06	0.122	1	"Neur"	"AP1G1"	"male"	"Entorhinal Cortex"
"SNX31"	0.0049003174944894	0.00716655903243502	0.062	0.124	1	"Neur"	"SNX3"	"male"	"Entorhinal Cortex"
"ARID5B1"	0.00491493219751681	0.0868875220380505	0.11	0.195	1	"Neur"	"ARID5B"	"male"	"Entorhinal Cortex"
"ZNF33A1"	0.00493816889574993	-0.210795724595759	0.053	0.108	1	"Neur"	"ZNF33A"	"male"	"Entorhinal Cortex"
"FAM214A1"	0.00495408409863981	-0.15700502073904	0.062	0.122	1	"Neur"	"FAM214A"	"male"	"Entorhinal Cortex"
"CRBN1"	0.00495439218695872	-0.0777071794441628	0.048	0.103	1	"Neur"	"CRBN"	"male"	"Entorhinal Cortex"
"TRPM72"	0.00496801816080505	0.192187232382522	0.089	0.168	1	"Neur"	"TRPM7"	"male"	"Entorhinal Cortex"
"FAM107B1"	0.00499614107350875	0.790356513106461	0.142	0.084	1	"Neur"	"FAM107B"	"male"	"Entorhinal Cortex"
"INTS1"	0.00501122657968722	0.879308123697467	0.108	0.057	1	"Neur"	"INTS1"	"male"	"Entorhinal Cortex"
"FXR12"	0.0050261358967124	0.925631920897715	0.209	0.151	1	"Neur"	"FXR1"	"male"	"Entorhinal Cortex"
"DPF31"	0.00503140583823243	0.00187908407054871	0.046	0.1	1	"Neur"	"DPF3"	"male"	"Entorhinal Cortex"
"FGFR21"	0.00503202282469721	0.891416909000064	0.115	0.062	1	"Neur"	"FGFR2"	"male"	"Entorhinal Cortex"
"PCDH19"	0.00511306974718193	-0.159291160540591	0.05	0.105	1	"Neur"	"PCDH19"	"male"	"Entorhinal Cortex"
"BCL22"	0.00514889991328146	0.00511803138384725	0.053	0.111	1	"Neur"	"BCL2"	"male"	"Entorhinal Cortex"
"PDZD22"	0.00517790122880231	0.0187766297346925	0.128	0.219	1	"Neur"	"PDZD2"	"male"	"Entorhinal Cortex"
"SLC25A271"	0.0052322215507301	0.0156891317494245	0.046	0.1	1	"Neur"	"SLC25A27"	"male"	"Entorhinal Cortex"
"ARHGAP322"	0.00528841868470455	0.161946691106539	0.144	0.246	1	"Neur"	"ARHGAP32"	"male"	"Entorhinal Cortex"
"VPS501"	0.00530449449763805	0.0037193244407181	0.069	0.132	1	"Neur"	"VPS50"	"male"	"Entorhinal Cortex"
"RAB40B1"	0.00533301713658069	0.765574348906833	0.122	0.068	1	"Neur"	"RAB40B"	"male"	"Entorhinal Cortex"
"PHLPP2"	0.00542916527182425	-0.0651781012561193	0.048	0.103	1	"Neur"	"PHLPP2"	"male"	"Entorhinal Cortex"
"HINT1"	0.00550978523373115	0.0261803543373258	0.106	0.186	1	"Neur"	"HINT1"	"male"	"Entorhinal Cortex"
"ZC3H141"	0.0055307153402513	-0.0397606482293376	0.085	0.157	1	"Neur"	"ZC3H14"	"male"	"Entorhinal Cortex"
"FAM96B"	0.00553382499999164	0.845837591106815	0.103	0.054	1	"Neur"	"FAM96B"	"male"	"Entorhinal Cortex"
