"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"	"region"
"GOLGA43"	1.33588701042631e-33	1.34240090280787	0.472	0.124	1.43794877802288e-29	"Olig"	"GOLGA4"	"female"	"Entorhinal Cortex"
"KCNMB4"	1.65475476118679e-33	1.25979594901591	0.542	0.175	1.78117802494146e-29	"Olig"	"KCNMB4"	"female"	"Entorhinal Cortex"
"ZNF5653"	1.16171826229903e-31	1.43830236202601	0.441	0.109	1.25047353753867e-27	"Olig"	"ZNF565"	"female"	"Entorhinal Cortex"
"TMEM1443"	1.75447180355433e-31	0.749602657088306	0.895	0.589	1.88851344934588e-27	"Olig"	"TMEM144"	"female"	"Entorhinal Cortex"
"DIP2B3"	6.38421221149734e-31	0.970965895130127	0.681	0.311	6.87196602445574e-27	"Olig"	"DIP2B"	"female"	"Entorhinal Cortex"
"SLC39A112"	4.70766855124235e-30	1.47654061239288	0.382	0.078	5.06733442855727e-26	"Olig"	"SLC39A11"	"female"	"Entorhinal Cortex"
"CH17-189H20.13"	5.48455887900263e-30	1.30229619897159	0.419	0.1	5.90357917735844e-26	"Olig"	"CH17-189H20.1"	"female"	"Entorhinal Cortex"
"CRYAB3"	1.42840557006003e-27	-1.03980177338525	0.484	0.628	1.53753575561261e-23	"Olig"	"CRYAB"	"female"	"Entorhinal Cortex"
"SYNJ2"	3.10372826498003e-26	1.09160845156274	0.494	0.173	3.34085310442451e-22	"Olig"	"SYNJ2"	"female"	"Entorhinal Cortex"
"CNP2"	4.25577261740115e-26	-1.1407964963726	0.512	0.625	4.5809136453706e-22	"Olig"	"CNP"	"female"	"Entorhinal Cortex"
"CDH19"	2.58037012787019e-25	1.2598355700604	0.422	0.129	2.77751040563947e-21	"Olig"	"CDH19"	"female"	"Entorhinal Cortex"
"EVA1C2"	4.52981958711645e-25	1.29916306738794	0.336	0.068	4.87589780357215e-21	"Olig"	"EVA1C"	"female"	"Entorhinal Cortex"
"PPP1R14A1"	7.71145876395499e-25	-1.46375978859735	0.24	0.428	8.30061421352115e-21	"Olig"	"PPP1R14A"	"female"	"Entorhinal Cortex"
"ZBTB163"	4.73824597484362e-24	1.34454077769744	0.278	0.036	5.10024796732168e-20	"Olig"	"ZBTB16"	"female"	"Entorhinal Cortex"
"XIST3"	6.44615263933696e-24	0.870627157885043	0.604	0.27	6.9386387009823e-20	"Olig"	"XIST"	"female"	"Entorhinal Cortex"
"NRXN12"	3.80632023468929e-23	-1.89327064638764	0.04	0.163	4.09712310061955e-19	"Olig"	"NRXN1"	"female"	"Entorhinal Cortex"
"RFX3-AS12"	3.5122342440198e-22	1.35274586762437	0.264	0.039	3.78056894026292e-18	"Olig"	"RFX3-AS1"	"female"	"Entorhinal Cortex"
"LSS2"	4.03664995060233e-22	1.16357242632284	0.317	0.071	4.34505000682835e-18	"Olig"	"LSS"	"female"	"Entorhinal Cortex"
"ITPKB3"	7.0817571083262e-22	1.15207336494942	0.371	0.109	7.62280335140232e-18	"Olig"	"ITPKB"	"female"	"Entorhinal Cortex"
"PPM1B3"	1.19362173132759e-21	1.06030549155736	0.4	0.131	1.28481443160102e-17	"Olig"	"PPM1B"	"female"	"Entorhinal Cortex"
"DNAJC62"	2.63493727361521e-21	0.707206861017209	0.626	0.297	2.83624648131942e-17	"Olig"	"DNAJC6"	"female"	"Entorhinal Cortex"
"AHI13"	8.58682615328825e-21	0.920691311979075	0.42	0.146	9.24285967139947e-17	"Olig"	"AHI1"	"female"	"Entorhinal Cortex"
"CST33"	2.43279001355376e-20	-1.52915769480535	0.056	0.182	2.61865517058926e-16	"Olig"	"CST3"	"female"	"Entorhinal Cortex"
"KIF19"	3.0145602232232e-20	1.48781211944771	0.201	0.012	3.24487262427746e-16	"Olig"	"KIF19"	"female"	"Entorhinal Cortex"
"MEG33"	3.38244721976096e-20	-1.60199555810198	0.122	0.275	3.6408661873507e-16	"Olig"	"MEG3"	"female"	"Entorhinal Cortex"
"NFASC2"	4.52866196124769e-20	0.725829917710266	0.55	0.243	4.87465173508702e-16	"Olig"	"NFASC"	"female"	"Entorhinal Cortex"
"USP343"	1.41176712174297e-19	0.991468486952815	0.37	0.119	1.51962612984413e-15	"Olig"	"USP34"	"female"	"Entorhinal Cortex"
"PDE8A3"	4.86484302901019e-19	0.605769052183798	0.699	0.387	5.23651703642657e-15	"Olig"	"PDE8A"	"female"	"Entorhinal Cortex"
"CCP1101"	6.51455753769226e-19	0.769880745238315	0.448	0.175	7.01226973357195e-15	"Olig"	"CCP110"	"female"	"Entorhinal Cortex"
"SPOCK12"	1.34600249686357e-18	0.625155770532551	0.745	0.453	1.44883708762395e-14	"Olig"	"SPOCK1"	"female"	"Entorhinal Cortex"
"MID1IP1"	1.46548030880349e-18	1.04217656029947	0.322	0.092	1.57744300439608e-14	"Olig"	"MID1IP1"	"female"	"Entorhinal Cortex"
"CTNNA22"	1.82414292762613e-18	-1.80874216965001	0.098	0.238	1.96350744729677e-14	"Olig"	"CTNNA2"	"female"	"Entorhinal Cortex"
"CALD12"	2.58595507715041e-18	1.01135294842561	0.3	0.078	2.7835220450447e-14	"Olig"	"CALD1"	"female"	"Entorhinal Cortex"
"CNDP13"	2.68106654389404e-18	0.827967663231639	0.602	0.328	2.88590002784755e-14	"Olig"	"CNDP1"	"female"	"Entorhinal Cortex"
"PALM2"	2.68712920407381e-18	0.782468661600801	0.435	0.17	2.89242587526505e-14	"Olig"	"PALM2"	"female"	"Entorhinal Cortex"
"KAT2B3"	3.04152817331274e-18	0.924257131827158	0.326	0.097	3.27390092575383e-14	"Olig"	"KAT2B"	"female"	"Entorhinal Cortex"
"APLP12"	4.29119861974736e-18	-1.11538299919399	0.41	0.526	4.61904619429606e-14	"Olig"	"APLP1"	"female"	"Entorhinal Cortex"
"KIRREL32"	5.10610430494981e-18	0.699185500936979	0.583	0.29	5.49621067384797e-14	"Olig"	"KIRREL3"	"female"	"Entorhinal Cortex"
"STARD133"	8.93793751406678e-18	0.789647034700292	0.436	0.175	9.62079594014149e-14	"Olig"	"STARD13"	"female"	"Entorhinal Cortex"
"S100A61"	9.16594222125563e-18	1.39359166470745	0.247	0.051	9.86622020695956e-14	"Olig"	"S100A6"	"female"	"Entorhinal Cortex"
"S100B3"	1.09337267553598e-17	-1.34497682075552	0.094	0.229	1.17690634794693e-13	"Olig"	"S100B"	"female"	"Entorhinal Cortex"
"PTK23"	2.42024666800148e-17	0.600500657571007	0.716	0.404	2.60515351343679e-13	"Olig"	"PTK2"	"female"	"Entorhinal Cortex"
"PTGDS3"	2.4384949390253e-17	-0.746663873801213	0.718	0.732	2.62479595236684e-13	"Olig"	"PTGDS"	"female"	"Entorhinal Cortex"
"DOCK12"	5.52297633017203e-17	0.845544022115853	0.466	0.209	5.94493172179718e-13	"Olig"	"DOCK1"	"female"	"Entorhinal Cortex"
"BCL23"	5.81118664902415e-17	1.24553269998492	0.242	0.054	6.25516130900959e-13	"Olig"	"BCL2"	"female"	"Entorhinal Cortex"
"SGK13"	6.78762975455588e-17	0.674701699039696	0.655	0.375	7.30620466780395e-13	"Olig"	"SGK1"	"female"	"Entorhinal Cortex"
"DIP2C3"	1.4491477755544e-16	0.659467022507516	0.571	0.27	1.55986266560676e-12	"Olig"	"DIP2C"	"female"	"Entorhinal Cortex"
"C1orf612"	4.37438600000989e-16	-1.30026373831465	0.037	0.131	4.70858909041065e-12	"Olig"	"C1orf61"	"female"	"Entorhinal Cortex"
"SLC38A23"	5.44065432005024e-16	0.805299898944242	0.344	0.122	5.85632031010208e-12	"Olig"	"SLC38A2"	"female"	"Entorhinal Cortex"
"FRMD53"	7.14495044446885e-16	0.549113999143482	0.872	0.623	7.69082465842627e-12	"Olig"	"FRMD5"	"female"	"Entorhinal Cortex"
"SH3PXD2B2"	8.38526514616674e-16	1.00852613252316	0.196	0.029	9.02589940333388e-12	"Olig"	"SH3PXD2B"	"female"	"Entorhinal Cortex"
"PPA1"	8.96664826542859e-16	1.02252854129351	0.298	0.095	9.65170019290734e-12	"Olig"	"PPA1"	"female"	"Entorhinal Cortex"
"GOLGB13"	9.27988595855414e-16	0.962846879146014	0.224	0.044	9.98886924578767e-12	"Olig"	"GOLGB1"	"female"	"Entorhinal Cortex"
"ANKRD123"	1.50406103200451e-15	0.629666940398258	0.505	0.234	1.61897129484965e-11	"Olig"	"ANKRD12"	"female"	"Entorhinal Cortex"
"TMSB4X3"	1.54148321469545e-15	-1.34222124199201	0.211	0.343	1.65925253229818e-11	"Olig"	"TMSB4X"	"female"	"Entorhinal Cortex"
"FIGN2"	1.59419688182355e-15	0.874755333558259	0.333	0.119	1.71599352359487e-11	"Olig"	"FIGN"	"female"	"Entorhinal Cortex"
"CCDC88A3"	2.18026051508953e-15	0.57646574457298	0.69	0.399	2.34683241844237e-11	"Olig"	"CCDC88A"	"female"	"Entorhinal Cortex"
"CPEB33"	4.05291343272822e-15	1.03839733417361	0.207	0.039	4.36255601898865e-11	"Olig"	"CPEB3"	"female"	"Entorhinal Cortex"
"AK51"	4.42375662570958e-15	-1.21424078725806	0.273	0.401	4.76173163191379e-11	"Olig"	"AK5"	"female"	"Entorhinal Cortex"
"MT-CO23"	5.31885417121775e-15	-1.17958280830096	0.193	0.331	5.72521462989879e-11	"Olig"	"MT-CO2"	"female"	"Entorhinal Cortex"
"NALCN2"	8.3800922939295e-15	0.642927706721093	0.442	0.2	9.02033134518572e-11	"Olig"	"NALCN"	"female"	"Entorhinal Cortex"
"IGSF112"	1.37736155507561e-14	0.803077191847555	0.336	0.124	1.48259197788339e-10	"Olig"	"IGSF11"	"female"	"Entorhinal Cortex"
"TSPAN19"	1.58093800920575e-14	1.25873358546214	0.129	0	1.70172167310907e-10	"Olig"	"TSPAN19"	"female"	"Entorhinal Cortex"
"TNKS4"	1.62557259804155e-14	0.747087924784172	0.382	0.158	1.74976634453193e-10	"Olig"	"TNKS"	"female"	"Entorhinal Cortex"
"PABPC13"	2.97803216457389e-14	0.914691691745669	0.239	0.063	3.20555382194734e-10	"Olig"	"PABPC1"	"female"	"Entorhinal Cortex"
"NAIP3"	3.15812049816258e-14	0.763084833329234	0.287	0.09	3.3994009042222e-10	"Olig"	"NAIP"	"female"	"Entorhinal Cortex"
"L3MBTL43"	4.27107742076258e-14	0.752563157584718	0.374	0.156	4.59738773570884e-10	"Olig"	"L3MBTL4"	"female"	"Entorhinal Cortex"
"GTF2I3"	4.55316598050202e-14	0.60362109389567	0.426	0.182	4.90102786141238e-10	"Olig"	"GTF2I"	"female"	"Entorhinal Cortex"
"GRID23"	4.82845740586441e-14	-1.69233696724393	0.043	0.134	5.19735155167245e-10	"Olig"	"GRID2"	"female"	"Entorhinal Cortex"
"NKAIN23"	5.34837727902783e-14	-0.864444227006225	0.622	0.64	5.75699330314555e-10	"Olig"	"NKAIN2"	"female"	"Entorhinal Cortex"
"SSH23"	6.86663676557081e-14	0.679723411350692	0.525	0.27	7.39124781446042e-10	"Olig"	"SSH2"	"female"	"Entorhinal Cortex"
"LINC-PINT3"	9.03560108977332e-14	0.688187163049959	0.435	0.204	9.725921013032e-10	"Olig"	"LINC-PINT"	"female"	"Entorhinal Cortex"
"KIAA13283"	1.20268153927785e-13	0.904949458512774	0.255	0.078	1.29456640887868e-09	"Olig"	"KIAA1328"	"female"	"Entorhinal Cortex"
"ZNF7083"	1.25652586149823e-13	0.834437600253345	0.267	0.085	1.35252443731669e-09	"Olig"	"ZNF708"	"female"	"Entorhinal Cortex"
"SLC6A15"	1.33399625649684e-13	1.09962331133332	0.154	0.017	1.4359135704932e-09	"Olig"	"SLC6A15"	"female"	"Entorhinal Cortex"
"MON23"	2.04945148490023e-13	0.708424175819863	0.312	0.117	2.20602957834661e-09	"Olig"	"MON2"	"female"	"Entorhinal Cortex"
"MYRF1"	2.74806602485513e-13	0.568888611938049	0.472	0.226	2.95801826915406e-09	"Olig"	"MYRF"	"female"	"Entorhinal Cortex"
"MAML33"	3.36118581765063e-13	1.01949201404899	0.212	0.054	3.61798041411914e-09	"Olig"	"MAML3"	"female"	"Entorhinal Cortex"
"BBS93"	3.54957561057e-13	0.837973419245247	0.261	0.085	3.82076318721754e-09	"Olig"	"BBS9"	"female"	"Entorhinal Cortex"
"NAA253"	4.05888772031338e-13	0.915930018856258	0.205	0.049	4.36898674214532e-09	"Olig"	"NAA25"	"female"	"Entorhinal Cortex"
"MKLN13"	4.26856715901003e-13	0.567755258366075	0.456	0.217	4.59468568995839e-09	"Olig"	"MKLN1"	"female"	"Entorhinal Cortex"
"NFKBIA2"	4.80634427849931e-13	1.01365011423862	0.18	0.034	5.17354898137665e-09	"Olig"	"NFKBIA"	"female"	"Entorhinal Cortex"
"HSD17B3"	5.73033239309678e-13	0.883653707258037	0.153	0.019	6.16812978792938e-09	"Olig"	"HSD17B3"	"female"	"Entorhinal Cortex"
"RP11-1055B8.3"	8.72463990754863e-13	0.885739009061145	0.232	0.068	9.39120239648535e-09	"Olig"	"RP11-1055B8.3"	"female"	"Entorhinal Cortex"
"FTL3"	9.22793375829533e-13	-0.768223031570637	0.59	0.623	9.93294789742909e-09	"Olig"	"FTL"	"female"	"Entorhinal Cortex"
"ENOX21"	9.799710826544e-13	0.792605708043644	0.284	0.102	1.0548408733692e-08	"Olig"	"ENOX2"	"female"	"Entorhinal Cortex"
"HSP90AA13"	1.06706052968038e-12	-1.22240184885372	0.334	0.433	1.14858395414796e-08	"Olig"	"HSP90AA1"	"female"	"Entorhinal Cortex"
"RBP7"	1.19048807733231e-12	1.15364494245623	0.14	0.015	1.28144136644049e-08	"Olig"	"RBP7"	"female"	"Entorhinal Cortex"
"RP11-371F15.31"	1.36205874728836e-12	1.17864080598438	0.155	0.024	1.46612003558119e-08	"Olig"	"RP11-371F15.3"	"female"	"Entorhinal Cortex"
"ATXN13"	1.67734009897878e-12	0.649444914977384	0.43	0.207	1.80548888254076e-08	"Olig"	"ATXN1"	"female"	"Entorhinal Cortex"
"NDRG23"	1.89196996037196e-12	-1.25393518584597	0.196	0.314	2.03651646534438e-08	"Olig"	"NDRG2"	"female"	"Entorhinal Cortex"
"SEPP12"	1.92154760336403e-12	-1.15699542797754	0.275	0.389	2.06835384026104e-08	"Olig"	"SEPP1"	"female"	"Entorhinal Cortex"
"ITGB81"	2.11570075589431e-12	0.706192408729428	0.265	0.09	2.27734029364464e-08	"Olig"	"ITGB8"	"female"	"Entorhinal Cortex"
"NCOA72"	2.27253712442324e-12	0.603705355746607	0.374	0.165	2.44615896072918e-08	"Olig"	"NCOA7"	"female"	"Entorhinal Cortex"
"ERMN"	2.38512770334138e-12	-1.15858947719819	0.2	0.321	2.56735145987666e-08	"Olig"	"ERMN"	"female"	"Entorhinal Cortex"
"GPHN3"	2.5798507603708e-12	0.520292770283616	0.486	0.248	2.77695135846313e-08	"Olig"	"GPHN"	"female"	"Entorhinal Cortex"
"AZGP1"	2.93374125779592e-12	1.05633243067208	0.128	0.01	3.15787908989153e-08	"Olig"	"AZGP1"	"female"	"Entorhinal Cortex"
"CEP572"	3.03621656270997e-12	0.773115025588862	0.222	0.066	3.26818350810101e-08	"Olig"	"CEP57"	"female"	"Entorhinal Cortex"
"PDXDC13"	3.36059470603476e-12	0.802664886340654	0.233	0.071	3.61734414157582e-08	"Olig"	"PDXDC1"	"female"	"Entorhinal Cortex"
"LRRFIP23"	3.38593789737834e-12	0.639298622737726	0.363	0.158	3.64462355273805e-08	"Olig"	"LRRFIP2"	"female"	"Entorhinal Cortex"
"KAZN2"	4.1017290235241e-12	0.789738243778767	0.289	0.109	4.41510112092134e-08	"Olig"	"KAZN"	"female"	"Entorhinal Cortex"
"ZNF146"	4.37756893986318e-12	0.785252088847503	0.239	0.078	4.71201520686873e-08	"Olig"	"ZNF146"	"female"	"Entorhinal Cortex"
"UBE4B3"	4.52779972094058e-12	0.591847239968728	0.291	0.107	4.87372361962044e-08	"Olig"	"UBE4B"	"female"	"Entorhinal Cortex"
"HYDIN2"	4.68891981049863e-12	0.948288526080631	0.175	0.036	5.04715328402073e-08	"Olig"	"HYDIN"	"female"	"Entorhinal Cortex"
"PTPN112"	5.64672365154437e-12	0.912762549835584	0.168	0.034	6.07813333852236e-08	"Olig"	"PTPN11"	"female"	"Entorhinal Cortex"
"PTPN131"	6.17753308534557e-12	0.739050567849536	0.284	0.109	6.64949661306597e-08	"Olig"	"PTPN13"	"female"	"Entorhinal Cortex"
"SLC35F31"	6.61937163431634e-12	1.02595353223861	0.13	0.012	7.1250916271781e-08	"Olig"	"SLC35F3"	"female"	"Entorhinal Cortex"
"HMGN33"	7.69649066463266e-12	0.582501663600266	0.379	0.173	8.28450255141059e-08	"Olig"	"HMGN3"	"female"	"Entorhinal Cortex"
"ARAP23"	8.58196714126917e-12	0.385303233710701	0.701	0.438	9.23762943086213e-08	"Olig"	"ARAP2"	"female"	"Entorhinal Cortex"
"NLN"	8.88026596804339e-12	1.0910190050842	0.113	0.005	9.55871828800191e-08	"Olig"	"NLN"	"female"	"Entorhinal Cortex"
"PTPRM3"	1.13677262146176e-11	0.964399994201255	0.202	0.056	1.22362204974144e-07	"Olig"	"PTPRM"	"female"	"Entorhinal Cortex"
"EFCAB22"	1.19578056320394e-11	0.895508166059491	0.177	0.041	1.28713819823272e-07	"Olig"	"EFCAB2"	"female"	"Entorhinal Cortex"
"ATP1B33"	1.26086189541694e-11	0.983748023775948	0.136	0.017	1.35719174422679e-07	"Olig"	"ATP1B3"	"female"	"Entorhinal Cortex"
"PABPC42"	1.32144975364752e-11	0.964640726494703	0.135	0.017	1.42240851482619e-07	"Olig"	"PABPC4"	"female"	"Entorhinal Cortex"
"CPQ2"	1.3364679077828e-11	0.502178143772784	0.365	0.161	1.43857405593741e-07	"Olig"	"CPQ"	"female"	"Entorhinal Cortex"
"ANKRD282"	1.51875534388226e-11	0.478372021481038	0.367	0.163	1.63478825215487e-07	"Olig"	"ANKRD28"	"female"	"Entorhinal Cortex"
"STARD91"	1.83655988591145e-11	0.850258815542483	0.179	0.044	1.97687306119508e-07	"Olig"	"STARD9"	"female"	"Entorhinal Cortex"
"SCFD23"	1.84742832103931e-11	0.773915743651986	0.189	0.049	1.98857184476671e-07	"Olig"	"SCFD2"	"female"	"Entorhinal Cortex"
"MAPT2"	2.06633943524459e-11	0.611085640064615	0.341	0.151	2.22420776809727e-07	"Olig"	"MAPT"	"female"	"Entorhinal Cortex"
"DLC12"	2.63199765015656e-11	0.609115033872318	0.411	0.204	2.83308227062852e-07	"Olig"	"DLC1"	"female"	"Entorhinal Cortex"
"RP4-565E6.12"	2.82665727354337e-11	0.928530941272752	0.149	0.027	3.04261388924208e-07	"Olig"	"RP4-565E6.1"	"female"	"Entorhinal Cortex"
"MPHOSPH83"	2.91106436721498e-11	0.570145066833502	0.299	0.119	3.13346968487021e-07	"Olig"	"MPHOSPH8"	"female"	"Entorhinal Cortex"
"KNOP12"	3.01965987675161e-11	0.666949395780891	0.248	0.088	3.25036189133543e-07	"Olig"	"KNOP1"	"female"	"Entorhinal Cortex"
"DPH63"	3.1943355608944e-11	0.887152358169637	0.19	0.051	3.43838279774674e-07	"Olig"	"DPH6"	"female"	"Entorhinal Cortex"
"BCL2L12"	3.38812581196845e-11	0.733467758451316	0.178	0.044	3.64697862400284e-07	"Olig"	"BCL2L1"	"female"	"Entorhinal Cortex"
"FDFT11"	3.95607285022822e-11	0.880567292207861	0.198	0.058	4.25831681598565e-07	"Olig"	"FDFT1"	"female"	"Entorhinal Cortex"
"PHACTR32"	4.09990332266828e-11	0.534228063158754	0.343	0.151	4.41313593652013e-07	"Olig"	"PHACTR3"	"female"	"Entorhinal Cortex"
"STMN41"	4.25177033714588e-11	-1.23181349510541	0.164	0.273	4.57660559090382e-07	"Olig"	"STMN4"	"female"	"Entorhinal Cortex"
"LARP6"	4.38510324977401e-11	0.514282483973023	0.302	0.122	4.72012513805674e-07	"Olig"	"LARP6"	"female"	"Entorhinal Cortex"
"PTPRD3"	4.44037083284532e-11	-0.530620264743495	0.813	0.754	4.77961516447471e-07	"Olig"	"PTPRD"	"female"	"Entorhinal Cortex"
"GPM6A3"	4.48280406368403e-11	-1.301927131912	0.05	0.131	4.82529029414949e-07	"Olig"	"GPM6A"	"female"	"Entorhinal Cortex"
"IRAK2"	4.48529201883044e-11	1.03847410403361	0.107	0.005	4.82796832906909e-07	"Olig"	"IRAK2"	"female"	"Entorhinal Cortex"
"RASSF43"	5.03322116164988e-11	0.70449209137465	0.186	0.049	5.41775925839993e-07	"Olig"	"RASSF4"	"female"	"Entorhinal Cortex"
"SEMA3C"	5.97101426279269e-11	0.845212607829529	0.161	0.034	6.42719975247005e-07	"Olig"	"SEMA3C"	"female"	"Entorhinal Cortex"
"HTRA13"	7.02655858755602e-11	0.525785271789883	0.38	0.18	7.5633876636453e-07	"Olig"	"HTRA1"	"female"	"Entorhinal Cortex"
"CCDC1862"	7.77788135490548e-11	0.959313748781782	0.144	0.027	8.37211149042026e-07	"Olig"	"CCDC186"	"female"	"Entorhinal Cortex"
"PICK1"	9.25016454597974e-11	0.746707234171496	0.167	0.039	9.95687711729259e-07	"Olig"	"PICK1"	"female"	"Entorhinal Cortex"
"HDAC43"	9.73675009720606e-11	0.828186018616909	0.166	0.039	1.04806378046326e-06	"Olig"	"HDAC4"	"female"	"Entorhinal Cortex"
"SLC4A81"	1.01887391464784e-10	0.780975784563164	0.218	0.073	1.09671588172693e-06	"Olig"	"SLC4A8"	"female"	"Entorhinal Cortex"
"APOD3"	1.05304989058435e-10	-0.823830492871963	0.395	0.482	1.133502902225e-06	"Olig"	"APOD"	"female"	"Entorhinal Cortex"
"FRYL3"	1.31077189621914e-10	0.450508728638065	0.723	0.479	1.41091486909028e-06	"Olig"	"FRYL"	"female"	"Entorhinal Cortex"
"TTC373"	1.51532126172306e-10	0.681274755624741	0.21	0.068	1.63109180611871e-06	"Olig"	"TTC37"	"female"	"Entorhinal Cortex"
"HBS1L"	1.55553536542453e-10	0.693102788527985	0.238	0.088	1.67437826734296e-06	"Olig"	"HBS1L"	"female"	"Entorhinal Cortex"
"RP11-557H15.41"	1.5944956879702e-10	0.844049901216217	0.159	0.036	1.71631515853112e-06	"Olig"	"RP11-557H15.4"	"female"	"Entorhinal Cortex"
"FADS11"	1.60434690128741e-10	0.776133584683397	0.19	0.056	1.72691900454577e-06	"Olig"	"FADS1"	"female"	"Entorhinal Cortex"
"KLHL322"	1.63831494268963e-10	0.479346588653756	0.568	0.333	1.76348220431112e-06	"Olig"	"KLHL32"	"female"	"Entorhinal Cortex"
"RTTN1"	1.65776800795859e-10	0.900828195974871	0.161	0.039	1.78442148376662e-06	"Olig"	"RTTN"	"female"	"Entorhinal Cortex"
"LRP2"	1.68058001320362e-10	0.485500524773549	0.28	0.109	1.80897632621238e-06	"Olig"	"LRP2"	"female"	"Entorhinal Cortex"
"TECPR22"	1.76093869641761e-10	0.604231021992125	0.278	0.112	1.89547441282392e-06	"Olig"	"TECPR2"	"female"	"Entorhinal Cortex"
"ADAM12"	2.11203956064734e-10	0.771420343880718	0.159	0.036	2.2733993830808e-06	"Olig"	"ADAM12"	"female"	"Entorhinal Cortex"
"FAM120C1"	2.1417144626641e-10	0.792731093418669	0.171	0.044	2.30534144761164e-06	"Olig"	"FAM120C"	"female"	"Entorhinal Cortex"
"BAIAP2L12"	2.32412132420981e-10	-0.982887037655407	0.048	0.127	2.50168419337944e-06	"Olig"	"BAIAP2L1"	"female"	"Entorhinal Cortex"
"CD55"	2.34303696851399e-10	0.642372324823112	0.229	0.08	2.52204499290846e-06	"Olig"	"CD55"	"female"	"Entorhinal Cortex"
"RP4-613B23.12"	2.49126550779406e-10	0.450022283288577	0.352	0.158	2.68159819258953e-06	"Olig"	"RP4-613B23.1"	"female"	"Entorhinal Cortex"
"NUP1071"	2.5387181837249e-10	0.68836501691614	0.15	0.032	2.73267625296148e-06	"Olig"	"NUP107"	"female"	"Entorhinal Cortex"
"PLA2G4C2"	2.76200304691216e-10	0.772377098537114	0.176	0.049	2.97302007969625e-06	"Olig"	"PLA2G4C"	"female"	"Entorhinal Cortex"
"FANCB"	2.80269835167966e-10	0.803856177845194	0.124	0.017	3.01682450574799e-06	"Olig"	"FANCB"	"female"	"Entorhinal Cortex"
"NAV23"	2.99513509937745e-10	0.85187690704937	0.24	0.092	3.22396342096988e-06	"Olig"	"NAV2"	"female"	"Entorhinal Cortex"
"AKAP93"	3.34807303721249e-10	0.500892312169509	0.33	0.148	3.60386581725552e-06	"Olig"	"AKAP9"	"female"	"Entorhinal Cortex"
"UBB3"	3.64267397109362e-10	-1.13036229492235	0.168	0.27	3.92097426248517e-06	"Olig"	"UBB"	"female"	"Entorhinal Cortex"
"USP323"	3.98530161778102e-10	0.612386959398226	0.276	0.112	4.28977866137949e-06	"Olig"	"USP32"	"female"	"Entorhinal Cortex"
"ZFAND33"	4.2334065330181e-10	0.514436742999571	0.289	0.122	4.55683879214069e-06	"Olig"	"ZFAND3"	"female"	"Entorhinal Cortex"
"LINC014813"	4.31297970896809e-10	0.75890486979041	0.242	0.092	4.64249135873326e-06	"Olig"	"LINC01481"	"female"	"Entorhinal Cortex"
"ORC23"	4.58592042034726e-10	0.827190298603269	0.151	0.034	4.93628474046179e-06	"Olig"	"ORC2"	"female"	"Entorhinal Cortex"
"SH3D193"	4.65451897061713e-10	0.435518628863096	0.494	0.275	5.01012421997228e-06	"Olig"	"SH3D19"	"female"	"Entorhinal Cortex"
"IL1RAPL13"	4.82718008473593e-10	-0.353892374410755	0.975	0.91	5.19597664320976e-06	"Olig"	"IL1RAPL1"	"female"	"Entorhinal Cortex"
"CLASP23"	4.92389820630255e-10	0.365645453772911	0.8	0.533	5.30008402926406e-06	"Olig"	"CLASP2"	"female"	"Entorhinal Cortex"
"SGMS13"	6.91769123046427e-10	0.538663398195873	0.34	0.163	7.44620284047175e-06	"Olig"	"SGMS1"	"female"	"Entorhinal Cortex"
"ZMYND83"	7.09228387903602e-10	0.586100869753609	0.222	0.078	7.63413436739437e-06	"Olig"	"ZMYND8"	"female"	"Entorhinal Cortex"
"NDUFS22"	7.48781055445666e-10	0.661096397696896	0.177	0.051	8.05987928081715e-06	"Olig"	"NDUFS2"	"female"	"Entorhinal Cortex"
"LARGE3"	8.13063943222542e-10	0.568759165446376	0.201	0.066	8.75182028484744e-06	"Olig"	"LARGE"	"female"	"Entorhinal Cortex"
"PALM2-AKAP2"	1.04535775241856e-09	0.737920984820676	0.191	0.063	1.12522308470334e-05	"Olig"	"PALM2-AKAP2"	"female"	"Entorhinal Cortex"
"ELF23"	1.21060545596809e-09	0.470850954586282	0.318	0.151	1.30309571280406e-05	"Olig"	"ELF2"	"female"	"Entorhinal Cortex"
"NDE1"	1.28469017226963e-09	0.679202205827041	0.155	0.039	1.38284050143103e-05	"Olig"	"NDE1"	"female"	"Entorhinal Cortex"
"NCOA13"	1.36881885041591e-09	0.433930394635048	0.371	0.18	1.47339661058769e-05	"Olig"	"NCOA1"	"female"	"Entorhinal Cortex"
"CDK193"	1.37718771864603e-09	0.446436773709584	0.516	0.302	1.48240486035059e-05	"Olig"	"CDK19"	"female"	"Entorhinal Cortex"
"MOBP1"	1.39164109443495e-09	-0.816820668657832	0.408	0.477	1.49796247404978e-05	"Olig"	"MOBP"	"female"	"Entorhinal Cortex"
"MIR100HG"	1.40469217520724e-09	-1.09795127501857	0.074	0.158	1.51201065739308e-05	"Olig"	"MIR100HG"	"female"	"Entorhinal Cortex"
"ZGRF1"	1.43118557134305e-09	0.727072534762116	0.108	0.012	1.54052814899365e-05	"Olig"	"ZGRF1"	"female"	"Entorhinal Cortex"
